cik,entityName,val,accn,end,fy,fp,form,filed,frame,year,tag
8818,AVERY DENNISON CORPORATION,82461259.0,0001193125-22-049910,2022-01-29,,,,,,2021,EntityCommonStockSharesOutstanding
8818,AVERY DENNISON CORPORATION,80824942.0,0000008818-23-000002,2023-01-28,,,,,,2022,EntityCommonStockSharesOutstanding
8818,AVERY DENNISON CORPORATION,80508663.0,0000008818-24-000003,2024-01-27,,,,,,2023,EntityCommonStockSharesOutstanding
8818,AVERY DENNISON CORPORATION,76877940.0,0000008818-26-000015,2026-01-31,,,,,,2025,EntityCommonStockSharesOutstanding
8818,AVERY DENNISON CORPORATION,75788142.0,0000008818-26-000131,2026-08-01,,,,,,2026,EntityCommonStockSharesOutstanding
9389,BALL Corp,141713478.0,0001104659-16-097390,2016-02-12,,,,,,2015,EntityCommonStockSharesOutstanding
9389,Ball Corp,0.0,0001558370-22-001251,2022-02-14,,,,,,2021,EntityCommonStockSharesOutstanding
9389,BALL CORPORATION,264703357.0,0001104659-26-090226,2026-07-31,,,,,,2026,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,547871849.0,0001193125-16-479471,2016-01-31,,,,,,2015,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,540082230.0,0001564590-17-002240,2017-01-31,,,,,,2016,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,540138815.0,0001564590-18-002954,2018-01-31,,,,,,2017,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,512538202.0,0001564590-19-003727,2019-01-31,,,,,,2018,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,505103894.0,0001628280-21-001867,2021-01-29,,,,,,2020,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,502293624.0,0001628280-22-003432,2022-01-31,,,,,,2021,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,504672166.0,0001628280-23-002864,2023-01-31,,,,,,2022,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,507827437.0,0001628280-24-003932,2024-01-31,,,,,,2023,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,511624996.0,0001628280-25-007201,2025-02-13,,,,,,2024,EntityCommonStockSharesOutstanding
10456,Baxter International Inc.,514490045.0,0001628280-26-007733,2026-02-05,,,,,,2025,EntityCommonStockSharesOutstanding
10456,BAXTER INTERNATIONAL INC.,516995999.0,0001628280-26-051118,2026-07-23,,,,,,2026,EntityCommonStockSharesOutstanding
10795,"Becton, Dickinson and Company",211816526.0,0001628280-16-010787,2015-12-31,,,,,,2015,EntityCommonStockSharesOutstanding
10795,"BECTON, DICKINSON AND COMPANY",212825085.0,0000010795-17-000002,2016-12-31,,,,,,2016,EntityCommonStockSharesOutstanding
10795,"BECTON, DICKINSON AND COMPANY",266242472.0,0000010795-18-000008,2017-12-31,,,,,,2017,EntityCommonStockSharesOutstanding
10795,"BECTON, DICKINSON AND COMPANY",269063379.0,0000010795-19-000009,2018-12-31,,,,,,2018,EntityCommonStockSharesOutstanding
10795,"BECTON, DICKINSON AND COMPANY",271173148.0,0000010795-20-000010,2019-12-31,,,,,,2019,EntityCommonStockSharesOutstanding
10795,"BECTON, DICKINSON AND COMPANY",290559991.0,0000010795-21-000029,2020-12-31,,,,,,2020,EntityCommonStockSharesOutstanding
10795,"Becton, Dickinson and Company",284771077.0,0000010795-22-000017,2021-12-31,,,,,,2021,EntityCommonStockSharesOutstanding
10795,"Becton, Dickinson and Company",283901642.0,0000010795-23-000030,2022-12-31,,,,,,2022,EntityCommonStockSharesOutstanding
10795,"Becton, Dickinson and Company",288902232.0,0000010795-24-000019,2023-12-31,,,,,,2023,EntityCommonStockSharesOutstanding
10795,"Becton, Dickinson and Company",287135421.0,0000010795-25-000022,2024-12-31,,,,,,2024,EntityCommonStockSharesOutstanding
10795,"BECTON, DICKINSON AND COMPANY",284741809.0,0000010795-26-000005,2025-12-31,,,,,,2025,EntityCommonStockSharesOutstanding
10795,"BECTON, DICKINSON AND COMPANY",272386800.0,0000010795-26-000035,2026-06-30,,,,,,2026,EntityCommonStockSharesOutstanding
11544,W. R. BERKLEY CORP,177361868.0,0000011544-21-000013,2021-02-11,,,,,,2020,EntityCommonStockSharesOutstanding
11544,W. R. BERKLEY CORP,379226056.0,0000011544-25-000005,2025-02-13,,,,,,2024,EntityCommonStockSharesOutstanding
11544,W. R. BERKLEY CORP,371227529.0,0000011544-26-000036,2026-07-27,,,,,,2026,EntityCommonStockSharesOutstanding
12927,BOEING CO,662503822.0,0000012927-16-000099,2016-02-04,,,,,,2015,EntityCommonStockSharesOutstanding
12927,BOEING CO,612478643.0,0000012927-17-000006,2017-02-01,,,,,,2016,EntityCommonStockSharesOutstanding
12927,BOEING CO,588490313.0,0000012927-18-000007,2018-02-05,,,,,,2017,EntityCommonStockSharesOutstanding
12927,BOEING CO,564985109.0,0000012927-19-000010,2019-02-01,,,,,,2018,EntityCommonStockSharesOutstanding
12927,BOEING CO,563152208.0,0000012927-20-000014,2020-01-24,,,,,,2019,EntityCommonStockSharesOutstanding
12927,BOEING CO,582996860.0,0000012927-21-000011,2021-01-25,,,,,,2020,EntityCommonStockSharesOutstanding
12927,BOEING CO,582999765.0,0000012927-22-000010,2022-01-24,,,,,,2021,EntityCommonStockSharesOutstanding
