ticker,date,ratio
DE,1976-09-22 09:30:00,2.0
DE,1995-11-29 09:30:00,3.0
DE,2007-12-04 09:30:00,2.0
DECK,2010-07-06 09:30:00,3.0
DECK,2024-09-17 09:30:00,6.0
DELL,2018-12-28 09:30:00,1.806
DELL,2021-11-02 09:30:00,1.973
DGX,2001-06-01 09:30:00,2.0
DGX,2005-06-21 09:30:00,2.0
DHI,1993-08-25 09:30:00,1.05
DHI,1994-05-24 09:30:00,1.06
DHI,1995-05-24 09:30:00,1.09
DHI,1995-09-18 09:30:00,1.4
DHI,1996-05-06 09:30:00,1.08
DHI,2000-09-14 09:30:00,1.09
DHI,2001-03-07 09:30:00,1.11
DHI,2002-04-10 09:30:00,1.5
DHI,2004-01-13 09:30:00,1.5
DHI,2005-03-17 09:30:00,1.3333333333333333
DHR,1987-09-09 09:30:00,2.0
DHR,1995-01-23 09:30:00,2.0
DHR,1998-06-01 09:30:00,2.0
DHR,2004-05-21 09:30:00,2.0
DHR,2010-06-14 09:30:00,2.0
DHR,2016-07-05 09:30:00,1.319
DHR,2023-10-02 09:30:00,1.128
DIS,1962-12-18 09:30:00,1.03
DIS,1967-11-16 09:30:00,2.0
DIS,1971-03-01 09:30:00,2.0
DIS,1973-01-16 09:30:00,2.0
DIS,1986-03-06 09:30:00,4.0
DIS,1992-05-18 09:30:00,4.0
DIS,1998-07-10 09:30:00,3.0
DIS,2007-06-13 09:30:00,1.0136847440446022
DLTR,1996-04-22 09:30:00,1.5
DLTR,1997-07-22 09:30:00,1.5
DLTR,1998-06-30 09:30:00,1.5
DLTR,2000-06-20 09:30:00,1.5
DLTR,2010-06-25 09:30:00,1.5
DLTR,2012-06-27 09:30:00,2.0
DOC,1992-05-21 09:30:00,2.0
DOC,2004-03-02 09:30:00,2.0
DOC,2016-11-01 09:30:00,1.098
DOV,1981-09-28 09:30:00,2.0
DOV,1988-09-26 09:30:00,2.0
DOV,1995-09-18 09:30:00,2.0
DOV,1997-12-16 09:30:00,2.0
DOV,2014-03-03 09:30:00,1.205
DOV,2018-05-09 09:30:00,1.238
DRI,2002-05-02 09:30:00,1.5
DRI,2015-11-10 09:30:00,1.1186933661483387
DTE,1963-01-15 09:30:00,2.0
DTE,2021-07-01 09:30:00,1.175
DUK,1990-10-01 09:30:00,2.0
DUK,2001-01-29 09:30:00,2.0
DUK,2007-01-03 09:30:00,1.7208742040956806
DUK,2012-07-03 09:30:00,0.3333333333333333
DVA,1997-10-21 09:30:00,1.6666666666666667
DVA,2004-06-16 09:30:00,1.5
DVA,2013-09-09 09:30:00,2.0
DVN,2004-11-16 09:30:00,2.0
DXCM,2022-06-13 09:30:00,4.0
EBAY,1999-03-02 09:30:00,3.0
EBAY,2000-05-25 09:30:00,2.0
EBAY,2003-08-29 09:30:00,2.0
EBAY,2005-02-17 09:30:00,2.0
EBAY,2015-07-20 09:30:00,2.376
ECHO,2019-09-11 09:30:00,1.234
ECL,1986-07-16 09:30:00,2.0
ECL,1994-01-19 09:30:00,2.0
ECL,1998-01-16 09:30:00,2.0
ECL,2003-06-09 09:30:00,2.0
ED,1965-03-02 09:30:00,2.0
ED,1982-07-01 09:30:00,2.0
ED,1989-07-03 09:30:00,2.0
EFX,1982-09-16 09:30:00,2.0
EFX,1985-03-21 09:30:00,1.5
EFX,1986-03-27 09:30:00,2.0
EFX,1989-12-19 09:30:00,2.0
EFX,1995-12-18 09:30:00,2.0
EIX,1984-08-13 09:30:00,2.0
EIX,1993-06-22 09:30:00,2.0
EL,1999-06-03 09:30:00,2.0
EL,2012-01-23 09:30:00,2.0
ELV,2005-06-01 09:30:00,2.0
EME,2006-02-13 09:30:00,2.0
EME,2007-07-10 09:30:00,2.0
EMR,1973-08-21 09:30:00,2.0
EMR,1987-09-11 09:30:00,3.0
EMR,1997-03-11 09:30:00,2.0
EMR,2006-12-12 09:30:00,2.0
EOG,1994-06-16 09:30:00,2.0
EOG,2005-03-02 09:30:00,2.0
EOG,2014-04-01 09:30:00,2.0
EQIX,2002-12-31 09:30:00,0.03125
EQT,1981-04-07 09:30:00,1.5
EQT,1984-02-01 09:30:00,1.5
EQT,1987-04-01 09:30:00,1.5
EQT,1993-01-26 09:30:00,1.5
EQT,2001-06-12 09:30:00,2.0
EQT,2005-09-02 09:30:00,2.0
EQT,2018-11-13 09:30:00,1.837
ERIE,1996-05-13 09:30:00,3.0
ETN,1979-10-03 09:30:00,1.5
ETN,1988-09-20 09:30:00,1.5
ETN,1993-06-29 09:30:00,2.0
ETN,2001-01-02 09:30:00,1.1524720525527257
ETN,2004-02-24 09:30:00,2.0
ETN,2011-03-01 09:30:00,2.0
ETR,2024-12-13 09:30:00,2.0
EVRG,1987-05-22 09:30:00,2.0
EW,2010-05-28 09:30:00,2.0
EW,2015-12-14 09:30:00,2.0
EW,2020-06-01 09:30:00,3.0
EXC,2004-05-06 09:30:00,2.0
EXC,2022-02-02 09:30:00,1.402
EXPD,1986-09-26 09:30:00,1.5
EXPD,1993-11-12 09:30:00,2.0
EXPD,1996-12-12 09:30:00,2.0
EXPD,1999-06-01 09:30:00,2.0
EXPD,2002-06-25 09:30:00,2.0
EXPD,2006-06-26 09:30:00,2.0
EXPE,2011-12-21 09:30:00,0.5
F,1977-06-27 09:30:00,1.25
F,1983-12-02 09:30:00,1.5
F,1986-06-03 09:30:00,1.5
F,1988-01-13 09:30:00,2.0
F,1994-07-06 09:30:00,2.0
F,1998-04-08 09:30:00,1.505797319680771
F,2000-06-29 09:30:00,1.0409076714895389
F,2000-08-03 09:30:00,1.748175
FAST,1988-09-19 09:30:00,1.5
FAST,1990-02-26 09:30:00,2.0
FAST,1992-03-31 09:30:00,2.0
FAST,1995-03-30 09:30:00,2.0
FAST,2002-05-13 09:30:00,2.0
FAST,2005-11-14 09:30:00,2.0
FAST,2011-05-23 09:30:00,2.0
FAST,2019-05-23 09:30:00,2.0
FAST,2025-05-22 09:30:00,2.0
FCX,2011-02-02 09:30:00,2.0
FDS,1999-02-08 09:30:00,1.5
FDS,2000-02-07 09:30:00,2.0
FDS,2005-02-07 09:30:00,1.5
FDX,1978-09-26 09:30:00,2.0
FDX,1980-11-03 09:30:00,2.0
FDX,1983-11-01 09:30:00,2.0
FDX,1996-11-05 09:30:00,2.0
FDX,1999-05-07 09:30:00,2.0
FDX,2026-06-01 09:30:00,1.241
FERG,2018-06-11 09:30:00,0.947
FFIV,2007-08-21 09:30:00,2.0
FICO,1995-06-27 09:30:00,2.0
FICO,2001-06-05 09:30:00,1.5
FICO,2002-06-06 09:30:00,1.5
FICO,2004-03-11 09:30:00,1.5
FISV,1991-07-02 09:30:00,1.5
FISV,1992-06-01 09:30:00,1.5
FISV,1993-05-03 09:30:00,1.5
FISV,1998-06-01 09:30:00,1.5
FISV,1999-05-03 09:30:00,1.5
FISV,2001-09-04 09:30:00,1.5
FISV,2013-12-17 09:30:00,2.0
FISV,2018-03-20 09:30:00,2.0
FITB,1983-03-28 09:30:00,2.0
FITB,1985-04-01 09:30:00,1.5
FITB,1986-04-28 09:30:00,1.5
FITB,1987-10-16 09:30:00,1.5
FITB,1990-01-16 09:30:00,1.5
FITB,1992-04-16 09:30:00,1.5
FITB,1996-01-16 09:30:00,1.5
FITB,1997-07-16 09:30:00,1.5
FITB,1998-04-16 09:30:00,1.5
FITB,2000-07-17 09:30:00,1.5
FLEX,1999-01-12 09:30:00,2.0
FLEX,1999-12-23 09:30:00,2.0
FLEX,2000-10-17 09:30:00,2.0
FLEX,2024-01-03 09:30:00,1.327
FRT,1982-09-01 09:30:00,2.0
FRT,1985-11-06 09:30:00,1.5
FTNT,2011-06-02 09:30:00,2.0
FTNT,2022-06-23 09:30:00,5.0
FTV,2020-10-09 09:30:00,1.195
FTV,2025-06-30 09:30:00,1.327
GD,1979-02-20 09:30:00,2.5
GD,1980-11-17 09:30:00,2.0
GD,1994-04-11 09:30:00,2.0
GD,1998-04-03 09:30:00,2.0
GD,2006-03-27 09:30:00,2.0
GE,1971-06-08 09:30:00,2.0
GE,1983-06-02 09:30:00,2.0
GE,1987-05-26 09:30:00,2.0
GE,1994-05-16 09:30:00,2.0
GE,1997-05-12 09:30:00,2.0
GE,2000-05-08 09:30:00,3.0
GE,2019-02-26 09:30:00,1.04
GE,2021-08-02 09:30:00,0.125
GE,2023-01-04 09:30:00,1.281
GE,2024-04-02 09:30:00,1.253
GEN,1991-10-28 09:30:00,2.0
GEN,2002-02-01 09:30:00,2.0
GEN,2003-11-20 09:30:00,2.0
GEN,2004-12-01 09:30:00,2.0
GILD,2001-02-22 09:30:00,2.0
GILD,2002-03-08 09:30:00,2.0
